Issue Type,Parent,Epic Link,Components,Summary,Acceptance Criteria,Story Points,Priority,Status,Assigned Team,Story  Key
Story,IF-1,API Architecture Setup,Backend API,As a developer I want to setup Laravel project structure,Laravel 10+ installed | Environment configured | Git repository initialized,3,High,To Do,Backend Team,
Story,IF-1,API Architecture Setup,Backend API,As a developer I want to configure API routing,RESTful routes defined | Route groups organized | API versioning setup,3,High,To Do,Backend Team,
Story,IF-1,API Architecture Setup,Backend API,As a developer I want to setup middleware,CORS middleware | Authentication middleware | Request logging,3,High,To Do,Backend Team,
Story,IF-1,API Architecture Setup,Backend API,As a developer I want to configure error handling,Standardized error responses | Exception handling | Validation error formatting,2,Medium,To Do,Backend Team,
Story,IF-1,API Architecture Setup,Backend API,As a developer I want to setup API response structure,Consistent JSON structure | Status codes standardized | Meta data included,2,Medium,To Do,Backend Team,
Story,IF-2,Warehouse Management API,Backend API,As a warehouse manager I want to add raw materials via API,POST /api/materials endpoint | Validation rules applied | Barcode auto-generated | Response includes material data,5,High,To Do,Backend Team,
Story,IF-2,Warehouse Management API,Backend API,As a warehouse manager I want to view all materials,GET /api/materials endpoint | Pagination support | Filtering by status | Sorting options,3,High,To Do,Backend Team,
Story,IF-2,Warehouse Management API,Backend API,As a warehouse manager I want to view single material,GET /api/materials/{id} endpoint | Include relationships | Show history,2,High,To Do,Backend Team,
Story,IF-2,Warehouse Management API,Backend API,As a warehouse manager I want to update material info,PUT /api/materials/{id} endpoint | Validation rules | Prevent weight changes,3,Medium,To Do,Backend Team,
Story,IF-2,Warehouse Management API,Backend API,As a warehouse manager I want to search materials,GET /api/materials/search endpoint | Search by barcode | Search by type,3,Low,To Do,Backend Team,
Story,IF-2,Warehouse Management API,Backend API,As a developer I want material weight to auto-update,Decrease weight when used | Calculate remaining weight | Update status (low/consumed),5,High,To Do,Backend Team,
Story,IF-3,Production Stages API,Backend API,As a stage1 worker I want to create stands via API,POST /api/stage1/stands endpoint | Link to parent material | Generate ST1 barcode | Calculate waste,5,High,To Do,Backend Team,
Story,IF-3,Production Stages API,Backend API,As a stage1 worker I want to view all stands,GET /api/stage1/stands endpoint | Pagination and filters | Include parent info,3,High,To Do,Backend Team,
Story,IF-3,Production Stages API,Backend API,As a stage2 worker I want to process stands,POST /api/stage2/process endpoint | Link to ST1 barcode | Generate ST2 barcode | Track processing details,5,High,To Do,Backend Team,
Story,IF-3,Production Stages API,Backend API,As a stage3 worker I want to create coils,POST /api/stage3/coils endpoint | Link to parent stand | Generate CO3 barcode | Add color and size,5,High,To Do,Backend Team,
Story,IF-3,Production Stages API,Backend API,As a stage3 worker I want to view all coils,GET /api/stage3/coils endpoint | Filter by color/size | Include parent info,3,High,To Do,Backend Team,
Story,IF-3,Production Stages API,Backend API,As a stage4 worker I want to create boxes,POST /api/stage4/boxes endpoint | Link multiple coils | Generate BOX4 barcode | Set packaging type,5,High,To Do,Backend Team,
Story,IF-3,Production Stages API,Backend API,As a stage4 worker I want to mark box as shipped,PUT /api/stage4/boxes/{id}/ship endpoint | Add shipping info | Update status,3,Medium,To Do,Backend Team,
Story,IF-3,Production Stages API,Backend API,As a developer I want validation for stage transitions,Check parent exists | Validate weights | Prevent double-use,5,High,To Do,Backend Team,
Story,IF-4,Tracking & History API,Backend API,As a manager I want to track product by barcode,GET /api/tracking/{barcode} endpoint | Return full chain | Include all stages,8,Medium,To Do,Backend Team,
Story,IF-4,Tracking & History API,Backend API,As a manager I want to view product history,GET /api/products/{id}/history endpoint | Timestamps for each stage | Show transitions,5,Medium,To Do,Backend Team,
Story,IF-4,Tracking & History API,Backend API,As a manager I want to search products,GET /api/products/search endpoint | Search by barcode | Search by date range,5,Low,To Do,Backend Team,
Story,IF-4,Tracking & History API,Backend API,As a developer I want to log all operations,Log create/update/delete | Store user info | Timestamp all actions,3,Low,To Do,Backend Team,
Story,IF-7,UI Framework Setup,Frontend UI,As a developer I want to setup React/Vue project,React/Vue installed | ESLint configured | Folder structure created,3,High,To Do,Frontend Team,
Story,IF-7,UI Framework Setup,Frontend UI,As a developer I want to configure routing,React Router/Vue Router setup | Route guards | Navigation menu,3,High,To Do,Frontend Team,
Story,IF-7,UI Framework Setup,Frontend UI,As a developer I want to setup state management,Vuex/Redux setup | Store modules | Actions and mutations,3,High,To Do,Frontend Team,
Story,IF-7,UI Framework Setup,Frontend UI,As a developer I want to configure API client,Axios setup | Base URL config | Interceptors for auth,2,Medium,To Do,Frontend Team,
Story,IF-7,UI Framework Setup,Frontend UI,As a developer I want to setup UI component library,Vuetify/Material-UI installed | Theme configured | Base components,2,Medium,To Do,Frontend Team,
Story,IF-8,Dashboard & Statistics,Frontend UI,As a manager I want to see dashboard KPIs,Total materials count | Total production count | Today's production | Waste percentage,5,High,To Do,Frontend Team,
Story,IF-8,Dashboard & Statistics,Frontend UI,As a manager I want to see production chart,Line chart for 7 days | Show daily production | Interactive tooltips,5,High,To Do,Frontend Team,
Story,IF-8,Dashboard & Statistics,Frontend UI,As a manager I want to see waste distribution,Pie chart by stage | Show percentages | Color-coded,3,Medium,To Do,Frontend Team,
Story,IF-8,Dashboard & Statistics,Frontend UI,As a manager I want to see recent activities,Last 10 operations | Real-time updates | Click to view details,3,Medium,To Do,Frontend Team,
Story,IF-8,Dashboard & Statistics,Frontend UI,As a manager I want dashboard to auto-refresh,Refresh every 30 seconds | Visual indicator | Manual refresh button,5,Low,To Do,Frontend Team,
Story,IF-9,Warehouse Interface,Frontend UI,As a warehouse manager I want a form to add materials,Input fields: type unit weight | Validation messages | Submit button | Success notification,5,High,To Do,Frontend Team,
Story,IF-9,Warehouse Interface,Frontend UI,As a warehouse manager I want to view materials table,Sortable columns | Pagination | Search/filter | Action buttons,5,High,To Do,Frontend Team,
Story,IF-9,Warehouse Interface,Frontend UI,As a warehouse manager I want to view barcode modal,Show barcode/QR code | Print button | Copy barcode button,3,Medium,To Do,Frontend Team,
Story,IF-9,Warehouse Interface,Frontend UI,As a warehouse manager I want to filter materials,Filter by status | Filter by date range | Filter by type,3,Low,To Do,Frontend Team,
Story,IF-9,Warehouse Interface,Frontend UI,As a warehouse manager I want to export materials list,Export to Excel | Export to PDF | Include filters,5,Low,To Do,Frontend Team,
Story,IF-14,Database Schema Design,Database,As a database designer I want to create ER diagram,Identify all entities | Define relationships | Document constraints,3,High,To Do,Database Team,
Story,IF-14,Database Schema Design,Database,As a database designer I want to design materials table,Define columns | Set data types | Primary key | Indexes,2,High,To Do,Database Team,
