Issue Type,Parent,Parent Story,Summary,Assigned To,Estimated Hours,Status,Sprint
Sub-task,IF-55,As a developer I want to setup Laravel project structure,Install Laravel 10+ via composer,Backend Dev,1h,To Do,Sprint 1
Sub-task,IF-55,As a developer I want to setup Laravel project structure,Configure .env file with database credentials,Backend Dev,0.5h,To Do,Sprint 1
Sub-task,IF-55,As a developer I want to setup Laravel project structure,Setup Git repository and initial commit,Backend Dev,0.5h,To Do,Sprint 1
Sub-task,IF-55,As a developer I want to setup Laravel project structure,Test Laravel installation with artisan serve,Backend Dev,0.5h,To Do,Sprint 1
Sub-task,IF-56,As a developer I want to configure API routing,Create routes/api.php with route groups,Backend Dev,1h,To Do,Sprint 1
Sub-task,IF-56,As a developer I want to configure API routing,Setup API versioning (v1),Backend Dev,1h,To Do,Sprint 1
Sub-task,IF-56,As a developer I want to configure API routing,Test routes with Postman,Backend Dev,1h,To Do,Sprint 1
Sub-task,IF-57,As a developer I want to setup middleware,Install and configure CORS package,Backend Dev,1h,To Do,Sprint 1
Sub-task,IF-57,As a developer I want to setup middleware,Create authentication middleware,Backend Dev,1.5h,To Do,Sprint 1
Sub-task,IF-57,As a developer I want to setup middleware,Create request logging middleware,Backend Dev,1h,To Do,Sprint 1
Sub-task,IF-58,As a developer I want to configure error handling,Create app/Exceptions/Handler.php customization,Backend Dev,1.5h,To Do,Sprint 1
Sub-task,IF-58,As a developer I want to configure error handling,Implement JSON error responses,Backend Dev,1h,To Do,Sprint 1
Sub-task,IF-59,As a developer I want to setup API response structure,Create API response trait/helper,Backend Dev,1.5h,To Do,Sprint 1
Sub-task,IF-59,As a developer I want to setup API response structure,Standardize status codes across controllers,Backend Dev,1h,To Do,Sprint 1
Sub-task,IF-60,As a warehouse manager I want to add raw materials via API,Create Material model with schema,Backend Dev,2h,To Do,Sprint 2
Sub-task,IF-60,As a warehouse manager I want to add raw materials via API,Create MaterialController with store method,Backend Dev,2h,To Do,Sprint 2
Sub-task,IF-60,As a warehouse manager I want to add raw materials via API,Implement validation rules (FormRequest),Backend Dev,2h,To Do,Sprint 2
Sub-task,IF-60,As a warehouse manager I want to add raw materials via API,Integrate barcode generation on creation,Backend Dev,3h,To Do,Sprint 2
Sub-task,IF-60,As a warehouse manager I want to add raw materials via API,Write API tests for material creation,QA Dev,2h,To Do,Sprint 2
Sub-task,IF-60,As a warehouse manager I want to add raw materials via API,Document API endpoint in Swagger,Backend Dev,1h,To Do,Sprint 2
Sub-task,IF-61,As a warehouse manager I want to view all materials,Implement index method in MaterialController,Backend Dev,2h,To Do,Sprint 2
Sub-task,IF-61,As a warehouse manager I want to view all materials,Add pagination with Laravel paginate(),Backend Dev,1h,To Do,Sprint 2
Sub-task,IF-61,As a warehouse manager I want to view all materials,Implement filtering by status,Backend Dev,1.5h,To Do,Sprint 2
Sub-task,IF-61,As a warehouse manager I want to view all materials,Add sorting functionality,Backend Dev,1h,To Do,Sprint 2
Sub-task,IF-62,As a warehouse manager I want to view single material,Implement show method in MaterialController,Backend Dev,1h,To Do,Sprint 2
Sub-task,IF-62,As a warehouse manager I want to view single material,Load relationships with eager loading,Backend Dev,1h,To Do,Sprint 2
Sub-task,IF-62,As a warehouse manager I want to view single material,Include history data in response,Backend Dev,1h,To Do,Sprint 2
Sub-task,IF-63,As a warehouse manager I want to update material info,Implement update method in MaterialController,Backend Dev,1.5h,To Do,Sprint 2
